Cab_Vendor_Name,Cab_Provider_Id,Emp_Id,Company_Name,Car_Type,Date,Start_Location,End_Location,PickUp_Time,Passenger_Count,Distance_from_home_inMiles
Redhold,1Vl-46,VWb-92,Topdrive,Electric Type,2021-02-28,7 Mallory Plaza,5748 Towne Lane,2:20 AM,4,46
Fintone,7E7-3L,enS-22,Browsecat,Electric Type,2020-08-19,70 Harbort Plaza,9 Nova Trail,8:41 PM,5,49
Bytecard,5sZ-7u,UlH-24,Yakijo,Gas Type,2020-09-15,831 Kenwood Circle,23766 Ohio Park,2:48 AM,1,14
Konklab,0Zh-9W,d49-14,Centimia,Electric Type,2020-12-01,2460 Burning Wood Center,1 Valley Edge Avenue,10:53 AM,5,9
Treeflex,8XW-8w,549-44,Linkbuzz,Gas Type,2020-03-10,6 Sloan Parkway,9 Charing Cross Center,10:26 PM,2,7
Tresom,7gd-44,Nbg-97,Photospace,Electric Type,2021-02-14,3 Sullivan Crossing,0 Columbus Crossing,6:12 AM,4,18
Tin,0gZ-6v,GCz-79,Jabbercube,Electric Type,2021-02-17,024 Luster Pass,903 Burning Wood Point,5:36 PM,1,5
Sonair,8wD-4W,yrU-46,Podcat,Gas Type,2020-10-20,04 Tony Trail,64 Fulton Way,10:29 AM,3,47
Fix San,323-0G,Zuv-62,Dabvine,Electric Type,2021-06-19,97 Lakeland Avenue,81218 Kennedy Junction,3:15 PM,4,47
Mat Lam Tam,3hd-3q,4bI-81,Blogtag,Gas Type,2020-03-01,80525 Memorial Place,1387 Forest Run Lane,3:21 PM,4,43
Sub-Ex,5o8-1m,IMi-05,Browsebug,Electric Type,2021-09-04,11908 Mallard Junction,5078 Tennessee Lane,9:44 AM,3,39
Mat Lam Tam,3f3-2u,Jyn-92,Avavee,Gas Type,2020-11-17,1966 Farragut Place,80007 Coolidge Lane,2:22 PM,2,70
Zoolab,5ps-6j,pXa-23,Kazio,Electric Type,2020-12-20,88337 Evergreen Parkway,3232 Eastwood Hill,7:57 AM,3,50
Keylex,0fz-0R,yPr-24,Livetube,Electric Type,2021-01-27,31107 Shasta Road,41766 Quincy Crossing,8:24 AM,1,24
Alpha,6J9-2y,ZVR-31,Quire,Gas Type,2020-12-23,8 Talmadge Way,308 Melvin Crossing,1:18 PM,1,9
Rank,0em-7B,ruz-19,Plajo,Gas Type,2020-04-14,52074 Leroy Road,2134 Johnson Place,3:11 PM,3,30
Bitchip,0Q0-91,Fss-75,Jabbercube,Electric Type,2021-01-24,91200 Upham Street,6812 Village Avenue,12:55 PM,3,36
Lotstring,9IO-7B,IKL-35,Thoughtsphere,Gas Type,2021-09-11,19 Warrior Court,70511 Kennedy Street,5:06 AM,2,51
Temp,4Od-2D,R5N-24,Cogidoo,Electric Type,2020-05-24,206 Eastwood Avenue,07 Pennsylvania Lane,5:09 PM,4,21
Lotlux,84U-1K,kHn-32,Snaptags,Electric Type,2021-05-12,0 Manufacturers Court,49072 Golf Course Street,9:58 AM,4,23
Ronstring,4BF-3V,cdg-34,Meembee,Electric Type,2020-04-01,08926 Packers Street,0726 Rigney Pass,5:56 PM,4,14
Y-find,7HM-1z,gir-95,Edgewire,Gas Type,2020-04-19,73381 Lillian Terrace,734 Union Court,3:49 PM,4,69
Mat Lam Tam,0qM-9z,xZi-62,Kwinu,Gas Type,2021-01-04,9569 Thompson Place,16 Clyde Gallagher Court,1:20 PM,4,58
Lotlux,8Fi-9q,P8R-87,Flashdog,Gas Type,2021-11-15,140 Eastlawn Pass,3 Northridge Drive,12:41 AM,4,10
Zaam-Dox,45R-4M,A1M-71,Demivee,Electric Type,2021-06-03,36 Ilene Way,392 Westend Drive,9:05 PM,2,53
Prodder,8Lc-30,hMK-51,Wikibox,Gas Type,2020-03-10,64173 Erie Drive,98829 Browning Hill,7:13 PM,4,35
Trippledex,5i0-1e,grR-14,Zoomdog,Electric Type,2021-03-26,5 South Road,8401 Maryland Point,2:44 AM,5,26
Zaam-Dox,80g-2d,6ew-61,Meejo,Gas Type,2021-10-05,0957 Ludington Point,68 Weeping Birch Crossing,9:21 PM,3,70
Voyatouch,4pu-18,veL-88,Meezzy,Electric Type,2020-11-15,17324 Johnson Street,76 Truax Parkway,7:15 AM,2,57
Temp,4to-2Z,41P-97,Katz,Gas Type,2021-10-24,46 Linden Drive,3 Buena Vista Junction,7:44 PM,1,31
Mat Lam Tam,2qa-5o,jGw-09,Oodoo,Gas Type,2020-12-17,3785 Mockingbird Alley,7648 Meadow Valley Crossing,1:52 AM,4,45
Latlux,8yY-1F,Xou-34,Mynte,Gas Type,2020-09-17,58 Melvin Point,384 Eagle Crest Center,7:04 AM,5,21
Treeflex,1co-1G,8kJ-22,Layo,Gas Type,2021-02-04,5372 Sloan Lane,3122 Dahle Way,12:04 PM,4,16
Domainer,2te-65,KYk-44,Gabspot,Electric Type,2020-11-21,3016 Monica Crossing,97 Bartillon Lane,1:16 PM,1,38
Duobam,1U4-6u,Z4T-34,Avamm,Gas Type,2020-10-27,8821 Namekagon Parkway,0753 Vera Avenue,11:03 PM,4,6
Tampflex,7uu-2v,8Ga-09,Lazz,Gas Type,2020-12-16,0 Nevada Pass,97718 Harper Circle,1:03 AM,3,58
Home Ing,8Dx-62,qyJ-35,Yodoo,Gas Type,2021-08-16,64489 Sloan Junction,1 Westend Drive,6:39 AM,5,67
Temp,2si-5k,BE3-77,Rhybox,Electric Type,2020-07-28,4771 Bunker Hill Road,256 Anniversary Plaza,1:14 AM,2,44
Daltfresh,2Wf-2K,uDu-42,Layo,Electric Type,2020-01-21,70 Maywood Place,8 Springs Crossing,3:28 PM,5,60
Subin,2Ly-7v,wQ1-46,Tagcat,Gas Type,2021-11-15,9457 Green Road,4555 Delaware Place,7:37 AM,1,33
Zamit,1nt-8Z,Bsq-56,Feednation,Gas Type,2021-10-24,06414 Kinsman Terrace,51 Oxford Park,11:23 PM,3,41
Cardify,1KK-9p,Vrq-15,Flipbug,Gas Type,2021-04-26,54038 Nevada Avenue,23870 Farmco Center,5:59 PM,1,50
Domainer,9lw-3S,Yo0-96,Zazio,Electric Type,2020-12-25,10 Porter Street,24 Hayes Terrace,9:51 AM,3,45
Tres-Zap,4q8-3y,ptt-04,Thoughtmix,Electric Type,2020-12-13,611 Prairie Rose Street,424 Clemons Court,10:56 AM,4,64
Y-Solowarm,6v3-9z,VLR-16,Shuffletag,Electric Type,2021-10-16,2 Merrick Lane,8 Eggendart Pass,1:31 PM,3,53
Pannier,0u7-4y,ODy-99,Zoovu,Electric Type,2021-06-15,2 Fremont Drive,06 Glendale Hill,12:03 PM,3,38
Temp,7p0-0C,p5D-76,Fiveclub,Gas Type,2020-09-27,273 Gateway Avenue,29413 Evergreen Way,12:39 PM,5,5
Alpha,4iN-6j,zwv-48,Oyoloo,Electric Type,2021-09-23,23 Clove Parkway,955 Mallard Hill,10:17 PM,5,1
Solarbreeze,00x-4B,UBZ-88,Dabtype,Electric Type,2020-12-08,1085 Dennis Center,55607 Karstens Drive,6:55 AM,1,44
Cardify,97f-5b,LYq-43,Kazio,Gas Type,2021-05-26,58 Paget Point,7700 Lake View Court,11:57 AM,4,8
It,9OD-4O,hJC-97,Linkbuzz,Gas Type,2020-08-30,7886 Thierer Parkway,1070 Bobwhite Plaza,11:50 AM,2,31
Stringtough,2Mr-97,7n5-23,Tambee,Electric Type,2021-08-15,20 Duke Park,970 Bultman Avenue,8:30 PM,4,1
Quo Lux,3Mo-9x,6y2-49,Babbleblab,Electric Type,2020-07-14,47 Superior Circle,647 Marquette Road,7:36 PM,5,27
Daltfresh,7f3-5L,As3-33,Yabox,Gas Type,2020-02-29,1570 Katie Lane,073 Del Sol Plaza,9:47 AM,1,28
Bigtax,2Zu-1G,0vZ-04,Devbug,Electric Type,2021-12-04,8 Pepper Wood Drive,739 Mcguire Junction,9:45 PM,3,16
Voltsillam,27b-4J,XUk-66,Meeveo,Gas Type,2020-03-30,18348 Loeprich Park,66 Fulton Parkway,5:22 PM,5,40
Bitwolf,90b-8w,kpz-70,Mita,Gas Type,2021-02-18,711 Hovde Plaza,464 Sunfield Way,10:39 PM,4,40
Cookley,1WP-1E,aeN-36,Gabtune,Gas Type,2021-04-03,00891 Delaware Point,0668 Garrison Drive,10:39 PM,2,43
Gembucket,9kd-07,ewx-78,Zoozzy,Electric Type,2020-11-14,09792 Northwestern Trail,02 Mendota Junction,10:04 AM,3,10
Quo Lux,3FC-8d,nDX-92,Tagtune,Gas Type,2020-02-19,573 Bowman Alley,28251 Reinke Junction,2:54 AM,1,27
Stim,91y-2S,Eza-10,Yakijo,Electric Type,2021-07-24,0 Rigney Plaza,02 Kedzie Road,4:43 AM,2,68
Prodder,831-99,NNF-21,Tazzy,Electric Type,2020-03-01,3134 Sunbrook Place,93 Dixon Crossing,8:38 AM,5,16
Greenlam,5F4-95,P6Z-95,Twiyo,Electric Type,2020-08-23,7 Waxwing Hill,638 Blackbird Road,8:48 AM,3,1
Cardify,2ci-2o,yWA-87,Trunyx,Gas Type,2021-06-22,34 Kensington Crossing,75793 Fieldstone Parkway,6:51 PM,5,15
Temp,1Ek-9d,5lf-64,Gabtype,Electric Type,2021-03-03,8 Stuart Center,44 Boyd Drive,8:20 PM,2,9
Sonsing,5F5-8e,jGq-31,Mydo,Electric Type,2020-10-25,994 8th Place,28915 Warner Lane,8:37 AM,4,4
Cardguard,1Bq-6r,oKL-34,Aimbu,Electric Type,2020-07-01,5190 Dorton Avenue,22 Mandrake Terrace,12:54 AM,1,17
Flowdesk,66f-2H,Sel-75,Fanoodle,Gas Type,2021-04-16,49 Shelley Road,91040 Bultman Parkway,1:56 PM,3,13
Wrapsafe,14O-9F,Nu8-79,Katz,Electric Type,2021-09-28,815 Dwight Pass,292 Kingsford Center,10:58 PM,2,14
Vagram,1ep-7K,7O0-49,Quatz,Electric Type,2021-03-08,769 Continental Avenue,83898 Knutson Way,3:34 PM,1,7
Viva,26e-7t,B3G-48,Jaxnation,Electric Type,2020-12-12,8 Bartillon Avenue,03 Summit Alley,9:51 AM,2,32
Viva,8HJ-45,KIy-42,Omba,Electric Type,2021-02-03,51806 Shoshone Place,87 Maple Wood Crossing,6:56 PM,2,6
Zoolab,3Ho-4B,ghN-81,Wikivu,Electric Type,2021-03-18,22 Straubel Plaza,312 Weeping Birch Road,8:39 AM,4,47
Ronstring,1Ad-5u,QHw-33,Pixonyx,Gas Type,2020-11-28,712 Thackeray Way,33675 Barby Crossing,12:46 PM,4,4
Tres-Zap,5l1-7s,gA2-44,Jayo,Electric Type,2021-03-13,81 Maple Parkway,757 Vernon Crossing,1:43 AM,4,18
Greenlam,78e-7P,7n5-23,Shufflebeat,Gas Type,2020-04-10,6047 Nancy Court,88581 Canary Court,12:20 PM,2,50
Latlux,4hZ-4R,k4X-05,Quimm,Electric Type,2021-11-05,4300 Transport Circle,86 Hansons Parkway,5:30 PM,1,24
Solarbreeze,7jT-5n,1sJ-41,Einti,Gas Type,2020-08-02,81574 Southridge Point,543 Messerschmidt Park,4:30 AM,2,3
Flowdesk,1MA-0h,QNr-91,Youfeed,Gas Type,2021-08-08,25 Del Sol Center,26430 Huxley Parkway,1:19 AM,2,34
Toughjoyfax,3zE-6y,WxY-99,Linkbuzz,Electric Type,2020-02-03,06 Namekagon Circle,74 Anniversary Court,1:06 AM,3,39
Bytecard,3OI-9F,HUN-55,Gevee,Electric Type,2021-09-29,233 Buell Plaza,0452 Vahlen Terrace,8:19 PM,2,40
Overhold,8k4-1Q,lLo-92,Eadel,Electric Type,2020-10-19,8 Blue Bill Park Terrace,3 Westend Park,6:33 AM,4,56
Holdlamis,1uu-9a,Bsq-56,Vipe,Electric Type,2021-02-01,49120 Briar Crest Avenue,98531 Sunfield Drive,12:49 AM,3,16
Y-find,2Xa-0e,Wb2-25,Plambee,Electric Type,2021-08-11,9 Oakridge Circle,49 Southridge Avenue,4:31 AM,5,27
Cardguard,6Nw-4E,djK-52,Zoozzy,Electric Type,2020-08-12,763 Iowa Plaza,06028 Upham Place,7:54 AM,4,48
Prodder,5Qx-3n,7O0-49,Twitternation,Gas Type,2020-07-21,93 Mendota Court,7 Lighthouse Bay Junction,7:36 PM,3,55
Sub-Ex,8r7-8W,USG-59,Geba,Gas Type,2020-11-26,58 Service Point,57 Corben Way,1:58 PM,4,33
Zontrax,86h-3Q,2ON-64,Realmix,Gas Type,2020-10-07,0 Straubel Junction,3 Maywood Park,1:58 AM,5,16
Alphazap,6CS-4f,lRm-19,Gigashots,Electric Type,2021-10-22,283 Oxford Alley,5 Michigan Drive,5:07 AM,5,60
Flowdesk,4kZ-3K,sQe-12,Babbleblab,Gas Type,2020-05-10,06910 Kropf Circle,64 Anniversary Avenue,5:16 PM,5,10
Sonair,4uC-85,YJm-85,Yadel,Gas Type,2020-06-14,3 Melrose Plaza,8 Eagle Crest Park,2:25 AM,3,28
Tres-Zap,1nX-6i,F5I-82,Trilia,Gas Type,2020-12-30,674 Hauk Plaza,13909 Loftsgordon Junction,10:22 AM,1,54
Job,3gk-4v,5Dw-74,Jabbersphere,Electric Type,2020-12-02,1 Trailsway Pass,5865 Anzinger Circle,12:49 PM,2,25
Aerified,0nH-4I,LTx-41,Bluejam,Electric Type,2020-12-27,19090 Fulton Crossing,6181 Doe Crossing Road,5:14 AM,4,19
Flexidy,2Iq-5h,Y9Q-30,Dynabox,Gas Type,2021-01-29,6 New Castle Road,8933 Raven Park,4:20 PM,3,58
Greenlam,3LW-7I,RHP-38,Eare,Electric Type,2021-08-05,52379 Dixon Plaza,20103 Manitowish Point,5:18 PM,4,66
Bitchip,3GP-1r,IH0-22,Dabjam,Gas Type,2020-05-27,5784 Gateway Place,1 Spaight Street,11:49 PM,3,45
Stringtough,1qw-5P,ajd-72,Kayveo,Electric Type,2021-01-14,368 Marquette Hill,0146 Derek Court,12:03 AM,5,31
Temp,6pH-8W,P6Z-95,Thoughtstorm,Electric Type,2021-03-08,0 Sunnyside Junction,15715 Carioca Terrace,12:32 PM,1,37
Mat Lam Tam,7FA-3l,zH4-49,Oyoloo,Electric Type,2021-11-03,9779 West Point,161 Luster Terrace,1:09 PM,5,36
Vagram,55G-4F,jQi-51,Realmix,Electric Type,2020-09-27,90 Forest Road,25 Columbus Road,11:55 AM,5,34
Voltsillam,469-0F,97a-79,Edgepulse,Electric Type,2020-09-14,7250 Jenna Parkway,45149 Rigney Parkway,8:17 PM,4,38
Sonair,90t-5p,Ypd-78,Yotz,Gas Type,2021-10-13,310 Oakridge Point,0 Spohn Parkway,11:10 PM,1,32
Home Ing,23n-1o,yrU-63,Pixonyx,Gas Type,2020-12-05,9 Bluejay Way,98249 Village Green Pass,4:04 PM,3,45
Stringtough,4M5-6h,rFL-07,Yacero,Electric Type,2020-09-12,9610 Russell Road,4 Birchwood Court,5:38 PM,5,11
Lotlux,18r-9l,f8H-92,Layo,Electric Type,2020-11-18,188 Harper Terrace,18 Eastlawn Point,6:11 AM,1,23
It,4JN-9F,nUu-53,Fivespan,Electric Type,2021-06-13,3 Hagan Alley,6161 Lunder Road,5:19 AM,3,41
Ventosanzap,0M6-70,hMK-51,Rhynoodle,Gas Type,2020-01-21,14 Northridge Lane,34973 Fair Oaks Avenue,2:51 AM,2,24
Zamit,3BV-6i,nra-15,Tavu,Gas Type,2021-05-13,5456 Dapin Pass,29736 Spenser Way,1:45 AM,1,15
Sonsing,57H-6O,hiu-83,Skibox,Electric Type,2020-11-03,068 Morrow Place,404 Eagan Alley,8:56 AM,4,27
Y-Solowarm,54I-84,usK-33,Devify,Electric Type,2021-10-30,7 Barby Place,70605 Blue Bill Park Junction,6:51 PM,5,29
Voyatouch,870-8D,SXd-14,Plajo,Electric Type,2020-09-15,26634 Homewood Avenue,99445 Havey Terrace,1:30 PM,3,46
Fintone,6Kp-4D,xZi-62,Tazz,Gas Type,2021-06-20,3 Cordelia Crossing,1090 Dakota Drive,10:05 PM,2,25
Bitwolf,0AX-2s,d2J-27,Realcube,Electric Type,2020-06-11,3259 Towne Pass,54908 Anhalt Drive,9:06 PM,2,28
Toughjoyfax,9Uj-9A,uI9-10,Skivee,Gas Type,2020-02-16,67 Magdeline Point,81 Gale Place,10:46 AM,5,66
Tin,9xI-3f,RMN-81,Mynte,Gas Type,2020-04-08,2 Clemons Court,1590 Welch Terrace,1:29 PM,3,17
Alpha,8hd-5F,G1H-69,Quimm,Gas Type,2021-08-24,92338 Havey Center,5458 Green Court,11:56 AM,2,69
Opela,7HD-4s,Suq-52,Dablist,Electric Type,2021-10-10,83 Declaration Lane,2508 Hoepker Circle,9:38 PM,5,17
Ventosanzap,9Xi-3n,9Vn-05,Devify,Gas Type,2020-01-11,32591 Roth Crossing,74894 Eastwood Circle,5:02 PM,4,54
Fintone,6qs-8d,kCV-46,BlogXS,Gas Type,2020-11-26,98 Shopko Street,56 Welch Plaza,8:42 PM,3,43
Asoka,8CT-0N,W5T-37,Digitube,Electric Type,2021-08-13,7 Messerschmidt Way,1 Duke Road,6:29 PM,5,67
Stringtough,1Eb-7d,nNZ-25,Abatz,Gas Type,2021-05-15,259 Eggendart Drive,38997 Transport Trail,3:53 PM,4,14
Transcof,2FV-6c,GN6-62,Latz,Gas Type,2021-05-27,1 Rowland Lane,970 Emmet Pass,7:24 AM,5,37
Lotstring,7Bs-6i,di6-79,Browsecat,Gas Type,2021-09-14,04364 Center Alley,9 Eastlawn Parkway,7:05 AM,3,70
Prodder,8m0-6z,REX-87,Dynazzy,Gas Type,2020-10-31,8 Little Fleur Center,0 Tennessee Drive,12:01 AM,5,49
Rank,5rY-0G,3z2-97,Devpulse,Electric Type,2021-08-07,7 Thompson Parkway,02209 Scott Park,9:35 PM,3,10
Stringtough,6Cw-8N,TWk-10,Gabtype,Electric Type,2020-06-27,3 Del Sol Point,8 Westport Pass,11:48 AM,4,22
Tempsoft,2ok-4L,UhN-81,Yodel,Gas Type,2020-01-30,72409 Dawn Hill,71472 Ridgeway Junction,7:38 PM,4,51
Quo Lux,9Vj-17,EcM-79,Wordtune,Gas Type,2020-11-15,898 Russell Center,00 Nelson Street,8:41 AM,1,49
Temp,4NZ-4T,jgi-75,Linkbridge,Gas Type,2021-01-25,6097 Dakota Trail,98434 Upham Plaza,2:57 AM,3,4
Sonsing,6tZ-7B,4aU-55,Skilith,Gas Type,2020-02-09,141 Kensington Trail,53340 High Crossing Pass,9:49 PM,4,34
Stronghold,9Xw-94,Oa6-30,Devpoint,Electric Type,2020-09-18,26131 Kropf Point,89778 Ryan Point,11:03 AM,5,43
Lotlux,2IN-4b,6ow-48,Feedmix,Electric Type,2020-01-31,97570 Katie Trail,6 Crowley Point,8:57 PM,4,45
Matsoft,8zk-06,zKi-42,Realmix,Gas Type,2020-11-07,79 Waywood Lane,860 Dixon Center,5:45 AM,1,40
Redhold,1lx-5v,IMi-05,Midel,Electric Type,2020-05-24,9743 Forest Dale Road,9 Loeprich Crossing,9:27 AM,3,26
Trippledex,9Aa-4K,30P-72,Thoughtmix,Gas Type,2021-03-06,130 Westend Avenue,8176 Sherman Crossing,8:00 AM,4,10
Lotlux,81q-5F,MuA-36,Yakidoo,Gas Type,2021-01-18,427 Browning Plaza,6 Heath Trail,1:27 AM,4,34
Zamit,5Li-7i,WS4-06,Quatz,Gas Type,2020-07-19,4 Amoth Hill,14 Rowland Place,11:29 PM,4,11
Y-find,7xQ-4a,msS-79,Blogtag,Gas Type,2020-09-23,835 Cascade Lane,073 Veith Place,8:54 AM,5,64
Alphazap,5oP-6j,vhz-19,Ooba,Gas Type,2020-06-22,14 Eastwood Place,0558 Sycamore Place,2:12 AM,3,3
Trippledex,2uT-9g,UwZ-79,Brainverse,Gas Type,2021-03-24,2 Dapin Avenue,62 Summer Ridge Drive,8:24 PM,2,30
Konklux,1QE-1j,UlH-24,Plambee,Electric Type,2021-08-30,988 Columbus Terrace,3 Mariners Cove Alley,9:11 PM,3,46
Solarbreeze,83q-0O,Hus-86,Twitterwire,Electric Type,2020-03-26,9 Dixon Alley,722 Paget Road,3:31 PM,3,39
Trippledex,9Dv-1b,JCz-32,Kazio,Electric Type,2020-05-09,29 Sunnyside Alley,17 Colorado Avenue,10:15 PM,4,2
It,9s6-49,gEI-80,Twitterbridge,Gas Type,2021-01-01,2707 Elgar Circle,431 Prentice Point,3:24 AM,2,12
Zamit,5rt-8J,gCh-62,Zoovu,Electric Type,2020-04-02,20672 Mesta Parkway,2319 Summerview Drive,10:27 AM,4,8
